GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Semantic Privacy Guard,com.semanticprivacyguard.detector,HeuristicDetector,8,341,8,46,2,68,8,36,1,16
Semantic Privacy Guard,com.semanticprivacyguard.detector,CompositeDetector,63,96,13,15,13,23,11,7,2,2
Semantic Privacy Guard,com.semanticprivacyguard.detector,MLDetector,29,527,22,46,5,55,22,20,1,7
Semantic Privacy Guard,com.semanticprivacyguard.detector,NLPDetector,234,0,26,0,48,0,20,0,7,0
Semantic Privacy Guard,com.semanticprivacyguard.util,TextUtils,67,243,26,38,11,46,21,19,3,5
Semantic Privacy Guard,com.semanticprivacyguard.util,RegexPatterns,0,44,0,0,0,24,0,1,0,1
Semantic Privacy Guard,com.semanticprivacyguard,SemanticPrivacyGuard,27,239,13,21,5,54,14,17,1,13
Semantic Privacy Guard,com.semanticprivacyguard.ml,FeatureExtractor,29,195,12,24,5,34,12,9,0,3
Semantic Privacy Guard,com.semanticprivacyguard.ml,NaiveBayesClassifier,15,397,3,21,0,71,3,20,0,11
Semantic Privacy Guard,com.semanticprivacyguard.ml,TrainingData,0,1564,0,0,0,80,0,3,0,3
Semantic Privacy Guard,com.semanticprivacyguard.config,SPGConfig,5,159,2,4,0,34,2,16,0,15
Semantic Privacy Guard,com.semanticprivacyguard.config,SPGConfig.Builder,26,122,8,12,3,35,7,15,1,11
Semantic Privacy Guard,com.semanticprivacyguard.tokenizer,PIITokenizer.RedactionMode,0,21,0,0,0,4,0,1,0,1
Semantic Privacy Guard,com.semanticprivacyguard.tokenizer,PIITokenizer,4,141,1,12,2,29,2,10,1,4
Semantic Privacy Guard,com.semanticprivacyguard.tokenizer,PIITokenizer.RedactionOutput,0,9,0,0,0,1,0,1,0,1
Semantic Privacy Guard,com.semanticprivacyguard.stream,StreamRedactionSummary,6,88,3,3,1,18,3,9,0,9
Semantic Privacy Guard,com.semanticprivacyguard.stream,StreamProcessor,30,347,8,24,8,74,7,18,0,9
Semantic Privacy Guard,com.semanticprivacyguard.nlp,NLPModelLoader.LoadedModels,12,0,0,0,1,0,1,0,1,0
Semantic Privacy Guard,com.semanticprivacyguard.nlp,NLPModelLoader,134,46,8,6,34,12,8,5,2,4
Semantic Privacy Guard,com.semanticprivacyguard.nlp,NLPModelException,5,4,0,0,2,2,1,1,1,1
Semantic Privacy Guard,com.semanticprivacyguard.model,RedactionResult,38,52,1,1,8,15,4,7,3,7
Semantic Privacy Guard,com.semanticprivacyguard.model,PIIMatch,148,68,21,5,14,19,20,6,7,6
Semantic Privacy Guard,com.semanticprivacyguard.model,PIIMatch.DetectionSource,0,27,0,0,0,5,0,1,0,1
Semantic Privacy Guard,com.semanticprivacyguard.model,PIIType,0,148,0,0,0,23,0,4,0,4
